MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02404,0,-17153.919,5.00E-007,150
0.12079,1,-33992.275,2.00E-006,150
0.21846,1,-33555.465,2.00E-006,150
0.31706,1,-32953.074,2.00E-006,150
0.41658,1,-31980.013,2.00E-006,150
0.51704,1,-30386.491,2.00E-006,150
0.61842,1,-27736.660,2.00E-006,150
0.72073,1,-22946.543,2.00E-006,150
0.82397,1,-16378.483,2.00E-006,150
0.92813,1,-10054.105,2.00E-006,150
1.03322,1,-5821.176,2.00E-006,150
1.13924,1,-3555.073,2.00E-006,150
1.24619,1,-2344.137,2.00E-006,150
1.35406,1,-1582.969,2.00E-006,150
1.46287,1,-1154.721,2.00E-006,150
1.57260,1,-932.396,2.00E-006,150
1.68325,1,-714.578,2.00E-006,150
1.79484,1,-610.429,2.00E-006,150
1.90735,1,-432.885,2.00E-006,150
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 203.00 ± 5.00 uM
#EXPINFO SYRINGECONC 2019.00 ± 15.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
