MolarRatio,Included/Fitted,PeakHeat,Fitted,InjVolume,InjDelay,[cell],[syr]
0.02404,0,-18017.419,-34571.320,5.00E-007,150,0.00020251,0.00000487
0.12079,1,-34425.001,-34421.615,2.00E-006,150,0.00020056,0.00002423
0.21846,1,-34150.734,-34101.334,2.00E-006,150,0.00019864,0.00004339
0.31706,1,-33542.139,-33616.428,2.00E-006,150,0.00019673,0.00006237
0.41658,1,-32793.735,-32846.075,2.00E-006,150,0.00019484,0.00008117
0.51704,1,-31465.365,-31553.226,2.00E-006,150,0.00019296,0.00009977
0.61842,1,-29522.231,-29279.879,2.00E-006,150,0.00019111,0.00011818
0.72073,1,-25257.674,-25308.607,2.00E-006,150,0.00018927,0.00013641
0.82397,1,-19302.810,-19311.019,2.00E-006,150,0.00018745,0.00015445
0.92813,1,-12660.900,-12773.210,2.00E-006,150,0.00018564,0.00017230
1.03322,1,-7934.301,-7877.113,2.00E-006,150,0.00018385,0.00018996
1.13924,1,-5071.620,-4978.582,2.00E-006,150,0.00018208,0.00020744
1.24619,1,-3476.889,-3363.823,2.00E-006,150,0.00018033,0.00022472
1.35406,1,-2518.237,-2436.782,2.00E-006,150,0.00017859,0.00024182
1.46287,1,-1568.182,-1874.185,2.00E-006,150,0.00017686,0.00025873
1.57260,1,-1444.404,-1513.266,2.00E-006,150,0.00017515,0.00027545
1.68325,1,-1437.161,-1270.148,2.00E-006,150,0.00017346,0.00029198
1.79484,1,-1033.337,-1099.451,2.00E-006,150,0.00017178,0.00030832
1.90735,1,-995.352,-975.328,2.00E-006,150,0.00017012,0.00032448
# EXPINFO CELLCONC 203.000
# EXPINFO SYRINGECONC 2019.000
# EXPINFO CELLVOLUME 0.000207100
