MolarRatio,Included/Fitted,PeakHeat,FittedHeat,InjVolume,InjDelay,[cell],[syr]
0.02404,0,-17492.069,-34358.069,5.00E-007,150,0.00020251,0.00000487
0.12079,1,-34330.425,-34195.545,2.00E-006,150,0.00020056,0.00002423
0.21846,1,-33893.615,-33842.764,2.00E-006,150,0.00019864,0.00004339
0.31706,1,-33291.224,-33296.619,2.00E-006,150,0.00019673,0.00006237
0.41658,1,-32318.163,-32404.855,2.00E-006,150,0.00019484,0.00008117
0.51704,1,-30724.642,-30861.361,2.00E-006,150,0.00019296,0.00009977
0.61842,1,-28074.810,-28080.103,2.00E-006,150,0.00019111,0.00011818
0.72073,1,-23284.693,-23276.294,2.00E-006,150,0.00018927,0.00013641
0.82397,1,-16716.633,-16625.718,2.00E-006,150,0.00018745,0.00015445
0.92813,1,-10392.255,-10374.219,2.00E-006,150,0.00018564,0.00017230
1.03322,1,-6159.326,-6258.345,2.00E-006,150,0.00018385,0.00018996
1.13924,1,-3893.223,-3963.353,2.00E-006,150,0.00018208,0.00020744
1.24619,1,-2682.288,-2697.237,2.00E-006,150,0.00018033,0.00022472
1.35406,1,-1921.119,-1962.912,2.00E-006,150,0.00017859,0.00024182
1.46287,1,-1492.871,-1510.436,2.00E-006,150,0.00017686,0.00025873
1.57260,1,-1270.547,-1215.748,2.00E-006,150,0.00017515,0.00027545
1.68325,1,-1052.728,-1014.534,2.00E-006,150,0.00017346,0.00029198
1.79484,1,-948.579,-871.579,2.00E-006,150,0.00017178,0.00030832
1.90735,1,-771.035,-766.557,2.00E-006,150,0.00017012,0.00032448
# EXPINFO CELLCONC 0.000203000
# EXPINFO SYRINGECONC 0.002019000
# EXPINFO CELLVOLUME 0.000207100
