MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02404,0,-17533.842,5.00E-007,150
0.12079,1,-33941.423,2.00E-006,150
0.21846,1,-33667.157,2.00E-006,150
0.31706,1,-33058.562,2.00E-006,150
0.41658,1,-32310.157,2.00E-006,150
0.51704,1,-30981.788,2.00E-006,150
0.61842,1,-29038.653,2.00E-006,150
0.72073,1,-24774.097,2.00E-006,150
0.82397,1,-18819.233,2.00E-006,150
0.92813,1,-12177.322,2.00E-006,150
1.03322,1,-7450.724,2.00E-006,150
1.13924,1,-4588.043,2.00E-006,150
1.24619,1,-2993.311,2.00E-006,150
1.35406,1,-2034.660,2.00E-006,150
1.46287,1,-1084.605,2.00E-006,150
1.57260,1,-960.826,2.00E-006,150
1.68325,1,-953.584,2.00E-006,150
1.79484,1,-549.760,2.00E-006,150
1.90735,1,-511.775,2.00E-006,150
