MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02781,0,-7044.225,5.00E-007,250
0.14533,0,-19150.485,2.10E-006,250
0.26404,0,-20891.585,2.10E-006,250
0.38393,1,-18818.363,2.10E-006,250
0.50500,1,-19265.213,2.10E-006,250
0.62726,1,-19183.605,2.10E-006,250
0.75070,1,-19094.783,2.10E-006,250
0.87532,1,-17129.393,2.10E-006,250
1.00112,1,-13909.585,2.10E-006,250
1.12811,1,-9646.952,2.10E-006,250
1.25628,1,-4572.531,2.10E-006,250
1.38563,1,-2342.688,2.10E-006,250
1.51617,1,-1544.855,2.10E-006,250
1.64789,1,-744.799,2.10E-006,250
1.78079,1,-638.381,2.10E-006,250
1.91488,1,-372.875,2.10E-006,250
2.05014,0,-1262.328,2.10E-006,250
2.18659,1,-24.843,2.10E-006,250
2.32423,1,-22.398,2.10E-006,250
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 24.60 uM
#EXPINFO SYRINGECONC 283.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
