MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02390,0,-9978.676,5.00E-007,600
0.12009,1,-25166.594,2.00E-006,600
0.21721,1,-23963.853,2.00E-006,600
0.31524,1,-23864.203,2.00E-006,600
0.41420,1,-23650.223,2.00E-006,600
0.51408,1,-21942.619,2.00E-006,600
0.61488,1,-23142.344,2.00E-006,600
0.71660,1,-22174.310,2.00E-006,600
0.81925,1,-21508.076,2.00E-006,600
0.92282,1,-19041.547,2.00E-006,600
1.02731,1,-7264.183,2.00E-006,600
1.13272,1,-1584.582,2.00E-006,600
1.23906,1,-368.437,2.00E-006,600
1.34631,1,-1277.465,2.00E-006,600
1.45449,0,3180.978,2.00E-006,600
1.56359,1,1275.360,2.00E-006,600
1.67362,1,-815.220,2.00E-006,600
1.78457,1,329.557,2.00E-006,600
1.89643,1,-541.934,2.00E-006,600
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 180.00 uM
#EXPINFO SYRINGECONC 1780.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
