MolarRatio,Included,InjVolume,InjDelay,PeakHeat1,PeakHeat2,PeakHeat3
0.02390,0,5E-07,600,-10289.042,-11179.262,-9978.676
0.12009,1,2E-06,600,-22943.432,-23535.775,-25166.594
0.21721,1,2E-06,600,-21627.948,-24216.539,-23963.853
0.31524,1,2E-06,600,-22895.004,-22662.036,-23864.203
0.41420,1,2E-06,600,-22218.737,-25024.789,-23650.223
0.51408,1,2E-06,600,-22247.109,-25493.580,-21942.619
0.61488,1,2E-06,600,-22629.851,-22891.583,-23142.344
0.71660,1,2E-06,600,-21691.980,-23281.928,-22174.310
0.81925,1,2E-06,600,-21390.675,-22025.571,-21508.076
0.92282,1,2E-06,600,-18428.266,-18673.085,-19041.547
1.02731,1,2E-06,600,-6678.491,-7315.258,-7264.183
1.13272,1,2E-06,600,-1988.127,-1553.816,-1584.582
1.23906,1,2E-06,600,-42.087,-319.456,-368.437
1.34631,1,2E-06,600,-356.053,-566.701,-1277.465
1.45449,1,2E-06,600,700.071,-331.346,3180.978
1.56359,1,2E-06,600,-1277.724,-46.014,1275.360
1.67362,1,2E-06,600,-335.410,-355.169,-815.220
1.78457,1,2E-06,600,980.513,94.231,329.557
1.89643,1,2E-06,600,-216.852,-85.452,-541.934
#ITCSIM METADATA LIST,,,,,,
#EXPINFO CELLCONC 180.00 uM,,,,,,
#EXPINFO SYRINGECONC 1780.00 uM,,,,,,
#EXPINFO CELLVOLUME 0.000207100 L,,,,,,
