MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02621,0,-9174.989,5.00E-007,250
0.13698,1,-19491.147,2.10E-006,250
0.24887,1,-20107.945,2.10E-006,250
0.36187,1,-19338.900,2.10E-006,250
0.47598,1,-18672.158,2.10E-006,250
0.59121,0,-16876.203,2.10E-006,250
0.70755,1,-18680.018,2.10E-006,250
0.82501,1,-16997.962,2.10E-006,250
0.94359,1,-15646.104,2.10E-006,250
1.06328,1,-10808.681,2.10E-006,250
1.18408,1,-5145.732,2.10E-006,250
1.30600,1,-2677.648,2.10E-006,250
1.42903,1,-1231.296,2.10E-006,250
1.55318,1,-882.789,2.10E-006,250
1.67845,1,-693.251,2.10E-006,250
1.80483,1,-203.522,2.10E-006,250
1.93232,1,-205.469,2.10E-006,250
2.06093,1,165.234,2.10E-006,250
2.19065,1,-401.331,2.10E-006,250
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 26.10 uM
#EXPINFO SYRINGECONC 283.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
