# Time	14-3-3_Free	PRLR_Cis_Free	PRLR_Trans_Free	14-3-3_PRLR_Cis_Bound	14-3-3_PRLR_Trans_Bound	V_inj
0	145	0	145	0	0	
590	20.6178	0.184925	20.4328	19.0484	105.334	
1190	19.1139	0.380573	18.7333	36.3575	89.5286	
1790	17.6913	0.583868	17.1074	51.635	75.6738	
2390	16.3629	0.793859	15.5691	64.939	63.6981	
2990	15.1422	1.00851	14.1337	76.3462	53.5116	
3590	14.0419	1.22438	12.8176	85.9558	45.0023	
4190	13.0727	1.43657	11.6361	93.8934	38.034	
4790	12.2407	1.63906	10.6017	100.312	32.4472	
5390	11.5465	1.82553	9.72102	105.389	28.0643	
5990	10.9838	1.99059	8.99326	109.319	24.6976	
6590	10.5404	2.13085	8.40953	112.298	22.1617	
7190	10.1998	2.24549	7.95427	114.516	20.2843	
7790	9.94391	2.33596	7.60795	116.142	18.9141	
8390	9.75522	2.40527	7.34995	117.319	17.9258	
8990	9.61808	2.45711	7.16097	118.163	17.2192	
9590	9.5195	2.49516	7.02434	118.763	16.7174	
10190	9.44924	2.52271	6.92653	119.188	16.3629	
10790	9.39946	2.54243	6.85702	119.487	16.1132	
11390	9.36435	2.55646	6.80789	119.698	15.938	
11990	9.33966	2.56637	6.77328	119.845	15.8151	
12590	9.32234	2.57336	6.74898	119.949	15.7291	
13190	9.31021	2.57826	6.73194	120.021	15.669	
13790	9.30172	2.5817	6.72002	120.071	15.627	
14390	9.29579	2.58411	6.71168	120.107	15.5976	
14990	9.29164	2.58579	6.70585	120.131	15.5771	
